date,description,amount
2025-05-01,Salary,45000
2025-05-02,Netflix Subscription,-499
2025-05-03,Spotify Subscription,-129
2025-05-04,Starbucks,-350
2025-05-05,Amazon Shopping,-2200
2025-05-06,Electricity Bill,-3200
2025-05-07,Zomato,-780
2025-05-08,Uber Ride,-450
2025-05-09,Grocery Store,-5100
2025-05-10,Phone Bill,-799
2025-05-11,Pharmacy,-650
2025-05-12,Movie Tickets,-1200
2025-05-13,Clothing Store,-3400
2025-05-14,Freelance Project,12000
2025-05-15,Internet Bill,-999
2025-05-16,Gas Station,-2300
2025-05-17,HDFC Refund,500
2025-05-18,Gym Membership,-1499
2025-05-19,Bookstore,-1200
2025-05-20,Coffee Beans,-600
